image,image_path,blur,brightness,contrast,noise,resolution,underexposed_pct,overexposed_pct,quality_score,quality_rating,blur_confidence,noise_confidence,recommendations,background,background_confidence,lighting,object_coverage,coverage_confidence,orientation,aspect_ratio,center_offset,content_score,suitability_score,suitability_rating,augmentations
Screenshot_2026-07-01_at_6.08.56_PM.png,uploads/train_set/Screenshot_2026-07-01_at_6.08.56_PM.png,869.95,242.62,50.54,0.0,788x934,2.34,92.9,63.69,Good,0.9871,0.8752,"Small Rotation, Horizontal Flip, Decrease Brightness, Fix Overexposure",Moderate,0.9652,Bright,3.88,1.0,0.0,0.95,6.1,44.77,54.23,Marginal,"brightness_down, sharpen, horizontal_flip, center_crop"
Screenshot_2026-07-01_at_6.09.21_PM.png,uploads/train_set/Screenshot_2026-07-01_at_6.09.21_PM.png,765.57,98.75,107.83,0.0,1158x862,32.85,28.43,74.68,Good,0.9782,0.7916,"Small Rotation, Horizontal Flip, Fix Underexposure, Fix Overexposure",Moderate,0.5002,Normal,38.51,0.3221,-90.0,1.0,1.05,89.38,82.03,Ready,"sharpen, rotate_small, horizontal_flip, brightness_up, brightness_down, vertical_flip, gaussian_noise, color_jitter"
Screenshot_2026-07-01_at_6.09.26_PM.png,uploads/train_set/Screenshot_2026-07-01_at_6.09.26_PM.png,228.61,216.41,66.84,0.0,626x616,0.96,72.6,60.19,Good,0.6812,0.32,"Small Rotation, Horizontal Flip, Decrease Brightness, Fix Overexposure",Moderate,0.654,Bright,25.79,0.8757,87.85,0.82,1.92,69.17,64.68,Marginal,"brightness_down, sharpen, rotate_small, horizontal_flip, center_crop, vertical_flip, gaussian_noise, color_jitter"
Screenshot_2026-07-01_at_6.09.34_PM.png,uploads/train_set/Screenshot_2026-07-01_at_6.09.34_PM.png,442.77,132.36,112.47,0.0,802x706,28.51,41.48,76.59,Good,0.8907,0.5312,"Small Rotation, Horizontal Flip, Fix Underexposure, Fix Overexposure",Moderate,0.8144,Normal,16.74,0.9056,-90.0,1.26,14.84,53.1,64.84,Marginal,"sharpen, rotate_small, horizontal_flip, center_crop, brightness_up, brightness_down, vertical_flip, gaussian_noise"
image.png,uploads/train_set/image.png,181.07,109.6,76.99,2.9652,1500x1000,0.33,1.54,79.45,Good,0.5956,0.8544,"Small Rotation, Horizontal Flip",Moderate,0.7482,Normal,32.14,0.9224,0.0,0.67,0.03,85.09,82.27,Ready,"horizontal_flip, vertical_flip, rotate_small, gaussian_noise, color_jitter, random_crop, elastic_transform, grid_distortion"
